"purchase_id","alias","created_at","purchase_date"
"40265","14a892a5-f9b3-4620-bb1f-7603df4e9c07","2019-09-02 15:22:59.166626+06","2019-09-02 06:00:00+06"
"40266","e14c1146-2d52-41d5-9b45-f66edca405a6","2019-09-02 15:25:40.528861+06","2019-09-02 06:00:00+06"
"40267","e485e1c5-fcef-4ed5-9bcf-185dd264060d","2019-09-02 15:29:53.550556+06","2019-09-02 06:00:00+06"
"40268","0772217e-3673-4c91-a6a0-f55c968ea67d","2019-09-02 15:34:30.835488+06","2019-08-27 06:00:00+06"
"40269","f4edfbfa-6653-45fd-b81b-2d9587de0b6e","2019-09-02 15:38:19.332811+06","2019-09-01 06:00:00+06"
"40270","423b86d3-ca7a-42e6-9ad3-d201e0f77d6d","2019-09-02 15:39:14.835335+06","2019-09-02 06:00:00+06"
"40271","02410b6d-4daf-4649-a8ce-e912ae77f275","2019-09-02 15:42:06.156035+06","2019-09-02 06:00:00+06"
"40272","e41796c7-e735-4866-8fbd-5c388b6ecbc2","2019-09-02 15:47:32.692291+06","2019-09-02 06:00:00+06"
"40273","757d4a37-d7f6-47fc-918f-fa2b49132650","2019-09-02 15:48:35.858528+06","2019-09-02 06:00:00+06"
"40274","4fabc5a9-ab6d-4c28-9967-ac39c58c5d62","2019-09-02 15:50:42.777779+06","2019-08-27 06:00:00+06"
"40275","27219bd6-9925-4c06-a3e6-ff830f441f96","2019-09-02 15:52:38.285518+06","2019-09-02 06:00:00+06"
"40276","05279cbf-ce7f-47b6-b1f8-6c1319e8efb6","2019-09-02 15:55:05.843896+06","2019-09-02 06:00:00+06"
"40277","20fa7eca-13c4-4e72-a52c-5e22500f95e4","2019-09-02 15:56:59.976825+06","2019-09-02 06:00:00+06"
"40278","999de070-0a78-426f-b558-b5ad9507d1e5","2019-09-02 15:57:19.393697+06","2019-09-02 06:00:00+06"
"40279","17a788a5-ae03-4944-ac6a-f428ebb7135b","2019-09-02 15:58:28.150915+06","2019-09-02 06:00:00+06"
"40280","f0a2d8c1-5f2f-4314-be1e-142a26627eb9","2019-09-02 15:58:55.56161+06","2019-09-02 06:00:00+06"
"40281","24444434-aeb7-403c-8c28-407d9bf77bd7","2019-09-02 16:02:07.443389+06","2019-09-02 06:00:00+06"
"40282","b7f9074a-5f44-4f8d-8b70-d3014febd994","2019-09-02 16:04:46.736851+06","2019-09-02 06:00:00+06"
"40283","1ea58bc0-eaac-49a3-b7b0-c802745ae487","2019-09-02 16:05:39.439624+06","2019-09-02 06:00:00+06"
"40284","9a4098aa-7bf7-4b03-9994-6503cdf63b07","2019-09-02 16:07:05.241874+06","2019-09-02 06:00:00+06"
"40285","cf82d625-8024-444f-821d-7c9fd7794079","2019-09-02 16:08:12.147751+06","2019-08-27 06:00:00+06"
"40286","665377ef-2e54-477c-ac76-e321b75134c7","2019-09-02 16:12:44.308097+06","2019-09-02 06:00:00+06"
"40287","8c279d19-35d1-4e2e-81ac-ebc31165a71d","2019-09-02 16:14:08.310925+06","2019-09-02 06:00:00+06"
"40288","fd419e97-5f89-4e59-95f7-760b5c8b7e0a","2019-09-02 16:15:16.402566+06","2019-09-02 06:00:00+06"
"40289","cd293227-0fd0-4f22-b0bf-75839d1bcc2a","2019-09-02 16:16:23.696754+06","2019-08-27 06:00:00+06"
"40290","63ba10d5-21e6-4296-be4b-e11773f8c053","2019-09-02 16:18:20.38158+06","2019-09-02 06:00:00+06"
"40291","0e387ddd-8a1e-46c3-be83-44dfefecf36d","2019-09-02 16:18:55.811158+06","2019-09-02 06:00:00+06"
"40292","bf216432-f0b2-4f7c-ae61-c7c832ae7ca4","2019-09-02 16:20:30.914697+06","2019-09-02 06:00:00+06"
"40293","4e70815a-fe3f-4243-88bb-38e61ea347bd","2019-09-02 16:21:09.209264+06","2019-09-02 06:00:00+06"
"40294","2064e5fb-af6d-4680-8213-0e9a8974e9d3","2019-09-02 16:22:47.877336+06","2019-08-27 06:00:00+06"
"40295","8a998668-c10d-43aa-b9cb-246ebc4093ed","2019-09-02 16:22:51.269485+06","2019-09-02 06:00:00+06"
"40296","57ddeff3-ff95-4458-b6e2-5aa1a1d5965a","2019-09-02 16:24:21.715426+06","2019-09-02 06:00:00+06"
"40297","782b246d-03be-4ab0-8002-797254b07a95","2019-09-02 16:24:28.744656+06","2019-09-02 06:00:00+06"
"40298","1e6fe0c2-d897-43dd-a967-f8e46ff53012","2019-09-02 16:26:27.201287+06","2019-09-02 06:00:00+06"
"40299","c346fa9c-dde9-416f-b2fd-19fb84d9f95e","2019-09-02 16:27:10.812518+06","2019-09-02 06:00:00+06"
"40300","76259b22-ee08-427d-aa87-061ba1a82b12","2019-09-02 16:28:50.021301+06","2019-09-02 06:00:00+06"
"40301","0734662c-949b-45e9-a437-99050a3c9ef1","2019-09-02 16:32:23.432892+06","2019-09-02 06:00:00+06"
"40302","74e197bd-11f0-48c9-aee7-9e3fcf8adcaf","2019-09-02 16:33:25.68656+06","2019-09-02 06:00:00+06"
"40303","7f6b522b-829d-454c-a8fb-1547dd8c4991","2019-09-02 16:35:58.130113+06","2019-09-02 06:00:00+06"
"40304","346c281e-6f8a-4b5f-a3c4-2b9c8bf1bde8","2019-09-02 16:39:40.995933+06","2019-09-02 06:00:00+06"
"40305","ca79fe55-cf84-4dde-9081-3a0ef86bda99","2019-09-02 16:43:33.241884+06","2019-09-02 06:00:00+06"
"40306","894e361d-484b-422d-8281-123511ff3d2f","2019-09-02 16:46:01.127334+06","2019-08-27 06:00:00+06"
"40307","a1a7c826-bfc9-444c-b752-cc85b2ac1c36","2019-09-02 16:46:58.252776+06","2019-09-02 06:00:00+06"
"40308","46dea9c3-ed05-4df2-a512-747383f6e382","2019-09-02 16:48:20.926196+06","2019-09-02 06:00:00+06"
"40309","26de6bf3-5bb1-4c70-a0be-247e84fb676a","2019-09-02 16:48:41.147437+06","2019-09-02 06:00:00+06"
"40310","f13d393c-2aa4-4cb9-81c7-0d2099e9467a","2019-09-02 16:50:23.226421+06","2019-09-02 06:00:00+06"
"40311","1f798d65-dc79-4f50-8ffb-6c20376f8c70","2019-09-02 16:56:27.817228+06","2019-09-02 06:00:00+06"
"40312","74afc2ae-5a80-4c11-a001-a2f353c069e5","2019-09-02 16:57:10.509243+06","2019-09-02 06:00:00+06"
"40313","e31743f2-ebdf-4efe-956e-5a725cf66435","2019-09-02 17:01:02.856754+06","2019-09-02 06:00:00+06"
"40314","157a4d26-8ca3-4271-a6d8-47dd5c1c6068","2019-09-02 17:01:34.899413+06","2019-09-02 06:00:00+06"
"40315","83acd0ec-f122-4295-a03b-5e398977a327","2019-09-02 17:04:01.942984+06","2019-09-02 06:00:00+06"
"40316","688e4fe6-f18f-4954-a5ae-18aa2dacb507","2019-09-02 17:20:38.392019+06","2019-08-27 06:00:00+06"
"40317","d2ec4137-792e-4856-8938-b05b592c8e92","2019-09-02 17:23:09.167207+06","2019-09-02 06:00:00+06"
"40318","c64cc1a6-113b-46e6-9902-46811a1413ed","2019-09-02 17:25:28.961835+06","2019-09-02 06:00:00+06"
"40319","ad6b02a9-651b-43fe-9147-b2ece98da82c","2019-09-02 17:26:32.337911+06","2019-08-27 06:00:00+06"
"40320","51b22b52-01cd-4eae-9d1c-77af085c1795","2019-09-02 17:27:26.190274+06","2019-09-02 06:00:00+06"
"40321","bd99e12b-6754-46e6-a008-06898fdeec06","2019-09-02 17:29:34.111934+06","2019-09-02 06:00:00+06"
"40322","89465fca-c97e-4798-a3e4-9ba0e5aced2e","2019-09-02 17:30:05.968562+06","2019-09-02 06:00:00+06"
"40323","3e8fbf21-c364-4450-9256-e33501155160","2019-09-02 17:31:52.784761+06","2019-09-02 06:00:00+06"
"40324","a4ae2d30-ea16-4a9f-98f2-0ecbe68f2ec6","2019-09-02 17:32:52.310481+06","2019-09-02 06:00:00+06"
"40325","d2d822fc-65a3-42f9-b437-19a1da598d8b","2019-09-02 17:34:00.566897+06","2019-09-02 06:00:00+06"
"40326","cf06dec7-3aec-4445-bd03-0fcd617258bc","2019-09-02 17:34:17.550153+06","2019-08-27 06:00:00+06"
"40327","3fd069f7-aae6-4042-8b23-9bfa712c80e4","2019-09-02 17:35:11.383613+06","2019-09-02 06:00:00+06"
"40328","7757f5ad-5519-47ee-b1d1-aa3a527a2a33","2019-09-02 17:36:41.316831+06","2019-09-02 06:00:00+06"
"40329","50242856-fefa-4526-86fd-5a10bd3b5c4c","2019-09-02 17:39:00.161751+06","2019-09-02 06:00:00+06"
"40330","54869527-0691-42f4-9c13-796ed8a3a9f8","2019-09-02 17:41:09.136604+06","2019-09-02 06:00:00+06"
"40331","46978609-18a3-4176-beeb-7bf4f8e38f4c","2019-09-02 17:42:03.662707+06","2019-09-02 06:00:00+06"
"40332","a9326292-79e9-4161-a669-f71e7de6c605","2019-09-02 17:42:19.451882+06","2019-09-02 06:00:00+06"
"40333","3340b039-332c-4aa8-b8ee-957b4850a051","2019-09-02 17:45:14.477225+06","2019-09-02 06:00:00+06"
"40334","52ba4ca3-6748-4ca8-ba46-f7251fe44843","2019-09-02 17:47:19.342998+06","2019-08-27 06:00:00+06"
"40335","23154552-4db1-4dbb-a9a6-fdb23c58eb68","2019-09-02 17:48:39.7639+06","2019-09-02 06:00:00+06"
