sales_id,alias,created_at,sale_date
385277,8645e1bc-d1f5-4d6b-91a0-af4a4eaa4d13,2019-09-03 06:50:42.267291+06,2019-09-03 06:42:57+06
385278,3be44130-3f3c-418a-8e3c-1c0bc84dd25a,2019-09-03 06:51:59.226567+06,2019-09-03 06:51:47+06
385279,211964bd-ac51-4110-91ea-840172ea51e0,2019-09-03 06:52:12.824729+06,2019-09-03 06:52:01+06
385280,42b995f5-6d28-40ff-bde2-f34cb8a1869e,2019-09-03 06:52:19.349135+06,2019-09-03 06:50:51+06
385281,5235d2f7-5a1b-4929-882b-81d5deba95d4,2019-09-03 06:56:24.656175+06,2019-09-03 06:53:55+06
385282,19c8145d-8b1e-4c82-bad0-c408e273b001,2019-09-03 07:02:19.498398+06,2019-09-03 06:52:13+06
385283,7ce6279d-f84a-431e-b3f2-39f22868199f,2019-09-03 07:02:33.841068+06,2019-09-03 07:01:13+06
385284,feb07a5b-78c6-4b75-94a8-1c3b40f32949,2019-09-03 07:03:43.254242+06,2019-09-03 07:03:27+06
385285,459fb36d-6719-4b9b-8c5b-fee8b4aef152,2019-09-03 07:05:46.379323+06,2019-09-03 07:04:59+06
385286,834ca6a1-8704-4a5b-91d2-a0f7efd3df9f,2019-09-03 07:06:15.621349+06,2019-09-03 07:03:44+06
385287,ee15bb75-31fb-4d5e-9a59-083c52f1084f,2019-09-03 07:06:21.005565+06,2019-09-03 07:05:47+06
385288,255fab9f-5e9a-48a6-abc8-73e0e0512cd7,2019-09-03 07:07:31.729518+06,2019-09-03 07:06:18+06
385289,2979dd89-0480-45b9-9029-4cf181609f9b,2019-09-03 07:08:03.522004+06,2019-09-03 07:07:41+06
385290,fc455f00-9fea-4578-b312-b851da12718b,2019-09-03 07:08:37.636711+06,2019-09-03 07:06:29+06
385291,eaa425b8-1a73-471b-b42d-ef3f482ca16f,2019-09-03 07:11:20.400596+06,2019-09-03 07:08:05+06
385292,c57d632c-9028-4021-9418-43da1b39dfd4,2019-09-03 07:13:26.689349+06,2019-09-03 07:08:45+06
385293,210e181d-3ccd-48d2-8bc0-580aef756ac7,2019-09-03 07:14:42.499507+06,2019-09-03 07:11:55+06
385294,a7800694-6092-42b3-8213-2292331a18fc,2019-09-03 07:15:15.897136+06,2019-09-03 07:14:39+06
385295,7a6356e0-3164-42dd-afa4-d253e81f89e0,2019-09-03 07:18:29.229661+06,2019-09-03 07:16:53+06
385296,17a2c9b7-0997-4520-85b1-1021f43f5911,2019-09-03 07:18:35.161006+06,2019-09-03 07:16:28+06
385297,242677ae-0c0d-427a-b758-4998ba8d1b55,2019-09-03 07:27:29.269942+06,2019-09-03 07:25:30+06
385298,b60dac26-e5fc-4915-8ce2-7e851980a688,2019-09-03 07:28:06.959318+06,2019-09-03 07:25:45+06
385299,bbc55010-28db-4dce-825a-ee7e9afec1e2,2019-09-03 07:28:39.255104+06,2019-09-03 07:26:22+06
385300,ab78142e-0271-45c9-841b-9b27780eb2e5,2019-09-03 07:29:02.078525+06,2019-09-03 07:18:45+06
385301,a3ef2baf-be60-4b56-83ad-3e1337811bb1,2019-09-03 07:30:11.776263+06,2019-09-03 07:29:45+06
385302,8a390e49-3e27-4d3a-a884-5f61f0e9d453,2019-09-03 07:30:56.311384+06,2019-09-03 07:30:17+06
385303,c9a94bde-6388-484d-a548-2995d93e6121,2019-09-03 07:31:56.155993+06,2019-09-03 07:30:53+06
385304,43bda20d-ef57-4208-a2a1-be672f7a8858,2019-09-03 07:32:10.646129+06,2019-09-03 07:31:36+06
385305,9ca71802-1fd6-4331-80ec-bb7046813720,2019-09-03 07:32:28.039399+06,2019-09-03 07:31:03+06
